"Name","Country of Origin","Type","Powerplants","Performance","Weights","Dimensions","Capacity","Production","History","Source URL"
"Canadair CL-44 & Yukon","Canada","Medium to long range airliner and freighter","CL-44D-4 - Four 4270kW (5730shp) RollsRoyce Tyne 515/50 turboprops driving four blade variable pitch propellers.","CL-44D-4 - Max cruising speed 647km/h (349kt), cruising speed 621km/h (335kt). Service ceiling 30,000ft. Range with max payload 4625km (2500nm), range with max fuel 8990km (4855nm).","CL-44D-4 - Operating empty 40,345kg (88,952lb), max takeoff 95,250kg (210,000lb).","CL-44D-4 - Wing span 43.37m (142ft 4in), length 41.73m (136ft 11in), height 11.18m (36ft 8in). Wing area 192.7m2 (2075sq ft).","Flightcrew of two pilots and one flight engineer. CL-44D-4 - Max single class seating for 160 passengers (or 189 in the CL-44J). Max payload 29,959kg (66,048kg).","A total of 27 civil CL-44s built (including four CL-44J and one CL-44-O conversions), and 12 military CL-44-6 designated CC-106 Yukon. Today only seven CL-44 still exist whereoff maximum three are airworthy.","The CL-44 can be seen as an enhanced Bristol  Britannia 300. 
In mid 1950s the Royal Canadian Air Force has a requirement for a maritime patrol aircraft to replace their Lacanster aircraft serving in this role. What resulted was the CP-107 Argus. which was licence built on the base of the Bristol Britannia. The Argus differed from the Britannia in a number of significant respects - it was powered by Wright Turbo Compound radial engines (selected in place of turboprops to give better endurance and low speed performance at low altitude), and a redesigned unpressurised fuselage incorporating a weapons bay. With Canadair already producing the Argus, it was a relatively simple matter to offer a Britannia based design to meet an RCAF requirement for a transport to replace the aging DC-4M Northstar.

The transport became the CC-106 Yukon (or to Canadair, the CL-44-6). Twelve were built, featuring Rolls Royce Tyne turboprops, lengthened fuselage with two large conventional side freight doors. The wings and tail plane, landing gears and cockpit were kept mostly the same as on the Britannia. The first Yukon flew on November 15 1959. It also featured some extra military stuff which was not taken up on the civillian version. This included an APU, elektrik trimming, enhanced radar, transportable loading system etc. 

Canadair then began to offer the Yukon to commercial customers and developed the CL-44D-4, which featured a hinged tail which considerably simplified loading. (Swingtail) Due to new FAA/CAA regulations on visibility requirements the Britannia type winshields were replaced by newer and bigger windshield originating from the Convair 880. The first CL-44D-4 flew on November 16 1960, and at that time the model was the largest and first commercial freighter in the world to offer a 30t turn around in less then 60 minutes. The CL-44 is the first modern aircarft specially built for the commercial freight market. 

While all CL-44s in civil service have sooner or later been used as freighters, Loftleidir Icelandic Airline operated four CL-44Js plus a single CL-44D-4 in passenger configuration. The J, or  ""Rolls Royce 400 JetProp"", differed from the D-4s in that it featured a 4.62m (15ft 2in) fuselage stretch. It is the only aircraft to be redrawn from service, cut, stretched and put into service again. In late sixties the CL-44J was the largest passenger aircraft over the Atlantic ocean with 189 passengers. This was bigger then 707 and DC-8. 

One CL-44 was converted by Conroy Aircraft in the US as a large volume freighter. Jack Conroy was hoping to get the lucratif contract to fly Rolls Royce engines for the Tristar. Instead Lockheed stretched their own L-100 and flew the engines themselves. The CL-44-O ""Guppy"" got a new voluminous cargo hold (similar to the Boeing 377ST Super Guppy conversions), and it flew after conversion for the first time on November 26 1969. 

All military Yukons found their way into civil service in Africa and South America after retirement in 1973. In 2001 no J-model has survived. Only one Yukon is alive and six CL-44D-4 remain in poor condition. Most have been parked for years.","https://www.airliners.net/aircraft-data/canadair-cl-44-yukon/133"
"Canadair CL-600 Challenger 600","Canada","Medium to long range widebody corporate jet","Two 33.6kN (7500lb) Avco Lycoming ALF-502L turbofans.","Max speed 904km/h (488kt), max cruising speed 890km/h (480kt), long range cruising speed 800km/h (432kt). Max operating altitude 45,000ft. Range with reserves (later build aircraft) 6300km (3402nm), or 5925km (3200nm) (earlier build aircraft).","Early build aircraft - Operating empty 10,353kg (22,825lb), max takeoff 18,325kg (40,400lb). 
Later build aircraft - Empty 8369kg (18,450lb), operating empty 10,285kg (22,675lb), max takeoff 18,201kg (40,125lb).","Wing span 18.85m (61ft 10in), length 20.85m (68ft 5in), height 6.30m (20ft 8in). Wing area 41.8m2 (450sq ft).","Flightcrew of two. Various customer seating options including 14, 15, 17 or 18 passenger configurations.","83 Challenger 600 were built between 1978 and 1983. Production of the Challenger continues as the 601, described separately.","The Canadair CL-600 Challenger had a troubled early history but formed the basis for what became a very successful business jet family. 

In 1976 Canadair purchased the exclusive production, development and marketing rights to an all new business jet developed by Learjet designer Bill Lear. Known as the LearStar 600, this design was first conceived in 1974. Notable for its large size cabin, the LearStar promised long range and good operating economics and was also one of the first aircraft to be designed with a supercritical wing. Lear initially planned that the LearStar would be a trijet, but the design had evolved to become a twin by the time Canadair purchased the rights. 

As the CL-600 Challenger, Canadair launched development of the LearStar design on October 29 1976 with 53 firm orders. Canadair made a small number of changes to the design including repositioning the horizontal tailplane to the top of the fin rather than on the fuselage. 

Three development Challengers were built, the first of which flew for the first time on November 8 1978, the others flying in March and July the following year. However the first aircraft crashed in a deep stall accident and while certification was granted in August 1980, temporary restrictions limited maximum takeoff weight to 14,970kg (33,000lb) and maximum speed to 587km/h (317kt), with flight into known icing conditions and the use of thrust reversers prohibited. 

A major weight and drag reduction program pared back the Challenger's weight, improving range. The addition of General Electric CF-34 turbofans as options to the Challenger 601 (described separately under Bombardier), further addressed performance shortfalls and overcame problems with the ALF-502 turbofan. 

One version that failed to see the light of day was the Challenger 610E, which would have featured a fuselage stretch allowing seating for 24 passengers, but Canadair suspended development in 1981. 

Production of the 600 ceased in 1983, having switched to the much improved 601.","https://www.airliners.net/aircraft-data/canadair-cl-600-challenger-600/135"
"Canadair CL-600 Challenger 601 & 604","Canada","Long range widebody corporate jets","601 - Two 40.7kN (9140lb) General Electric CF-34-3A turbofans. 
604 - Two CF-34-3Bs flat rated to 38.8kN (8729lb) without automatic power reserve, or 41.0kN (9220lb) with.","601-1A - Max cruising speed 851km/h (460kt), typical cruising speed 819km/h (442kt), long range cruising speed 786km/h (424kt). Max operating altitude 45,000ft. Range with max fuel and reserves 6208km (3352nm).
601-3A - Normal cruising speed 851km/h (460kt). Service ceiling 41,000ft. Range with max fuel, five pax and reserves 6236km (3365nm). 
604 - Max cruising speed 882km/h (476kt), normal cruising speed 851km/h (459kt), long range cruising speed 787km/h (425kt). Certificated ceiling 41,000ft. Range with max fuel, five pax and reserves 7550km (4077nm) at long range cruising speed, 6980km (3769nm) at normal cruising speed.","601-3A - Empty 9049kg (19,950lb), operating empty 11,605kg (25,585lb), max takeoff 19,550kg (43,100lb). 
601-3R - Empty 9292kg (20,485lb), operating empty 11,566kg (25,500lb), max takeoff 19,550kg (43,100lb) or optionally 20,457kg (45,100lb). 
604 - Empty 9806kg (21,620lb), operating empty 12,079kg (26,630lb), max takeoff 21,591kg (47,600lb), or optionally 21,863kg (48,200lb).","Wing span 19.61m (64ft 4in), length 20.85m (68ft 5in), height 6.30m (20ft 8in). Wing area 48.3m2 (520.0sq ft).","Flightcrew of two. Various seating options available depending on customer preference, maximum permissible seating for 19.","Challenger 601 production completed, with 66 601-1As, 134 601-3As and 59 601-3Rs delivered. Over 80 604s sold.","The Challenger 601 addressed the original CL-600 Challenger's weight problems and replaced the troubled ALF-502 turbofans, creating a highly successful full size corporate jet. 

Troubles with the Avco Lycoming powered Challenger 600 led Canadair (now a division of Bombardier) to develop a vastly improved variant in the form of the General Electric CF-34 powered Challenger 601. Another important change was the addition of winglets, which are also offered as a retrofit to earlier aircraft. The 601 first flew on April 10 1982 and for a time was offered alongside the 600. The 600 was dropped from the model line in 1983. 

Subsequent development of the Challenger led to the 601-3A. First flying in 1987, this variant introduced an EFIS glass flightdeck and upgraded engines. Available from 1989, the 601-3R was an extended range model with higher weights (the range increase modifications can also be retrofitted to earlier 601-3As). 

Further improvements to the basic design led to the Challenger 604. Improvements include an advanced Collins ProLine IV EFIS avionics system with colour displays, higher weights, CF-34-3B turbofans and increased fuel tankage. Many other minor changes were incorporated based on Bombardier's experience with the Canadair Regional Jet. First flight with CF-34-3A engines was in September 1994, first flight with the CF-34-3B engines was on March 17 1995, with Transport Canada certification granted that September. First delivery was in January 1996.","https://www.airliners.net/aircraft-data/canadair-cl-600-challenger-601-604/123"
"Canadair CL-600 Regional Jet CRJ-100 & 200","Canada","Regional jet airliner","100 - Two 41.0kN (9220lb) General Electric CF-34-3A1 turbofans. 
200 - Two 41.0kN (9220lb) CF-34-3B1s.","100 - High speed cruise 851km/h (459kt), typical cruising speed 786km/h (424kt). Range with max payload at long range cruising speed with reserves 1815km (980nm). 
200LR - Speeds same. Range with max payload at long range cruising speed and reserves over 3713km (2005nm).","100 - Empty 13,236kg (29,180lb), operating empty 13,653kg (30,100lb), max takeoff 21,523kg (47,450lb).
200LR - Empty 13,740kg (30,292lb), operating empty 13,740kg (30,292lb), max takeoff 24,040kg (53,000lb).","Wing span 21.21m (69ft 7in), length 26.77m (87ft 10in), height 6.22m (20ft 5in). Wing area 54.5m2 (587.1sq ft).","Flightcrew of two. Typical one class seating for 50 at four abreast and 79cm (31in) pitch. Max seating for 52. Corporate Jetliner corporate shuttle configurations seat from 18 to 30.","Total CRJ Series 100/200 orders at late 1998 over 430, of which more than 260 had been delivered. Bombardier plans to increase the CRJ production rate from six per month in late 1998 to 7.5 per month by the northern fall of 1999.","Bombardier's Canadair Regional Jet pioneered the new 50 seat jet class, and has since become a runaway sales success. 

The Canadair Regional Jet - or CRJ - is designed to offer the high speed advantages of much larger jets, with similar standards of service while at the same time offering operating economics, particularly over longer stage lengths, close to that of comparable size turboprops. 

The concept of a stretched airliner derivative of the Challenger is not new, Canadair (now part of Bombardier Aerospace) originally studied a 24 seat stretched development of the CL-600 up to 1981. Design studies for a stretched airliner based on the 601 however were first undertaken in 1987, leading Canadair to launch the Regional Jet program on March 31 1989. The first of three development aircraft took to the skies for the first time on May 10 1991. Transport Canada certification was awarded on July 31 1992, allowing the first customer delivery to Lufthansa that October. 

Major changes over the Challenger apart from the stretched fuselage include a new advanced wing optimised for airline operations, higher design weights, EFIS flightdeck with Collins Pro-Line 4 avionics suite, new undercarriage, additional fuel capacity and slightly more powerful CF-34 engines. 

The original CRJ-100 series - the 100, 100ER and 100LR - was augmented by the 200 series (with more efficient engines) in 1995. The Series 200 is available in standard 200, long range 200LR with optional greater fuel capacity, and the extended range Series 200LR (all three are offered in B form with CF34-3B1s for improved hot and high performance). Corporate shuttle configurations are also available as the Corporate Jetliner and the SE (Special Edition). 

The stretched, 70 seat CRJ-700 is described separately.","https://www.airliners.net/aircraft-data/canadair-cl-600-regional-jet-crj-100-200/125"
"Canadair CL-600 Regional Jet CRJ-700","Canada","70 seat regional jet airliner","Two 56.4kN (12,670lb) or 61.3kN (13,790lb) with automatic power reserve General Electric CF-34-8C1 turbofans.","High speed cruise 860km/h (464kt), normal cruising speed 818km/h (442kt). Max certificated altitude 41,000ft. Range with 70 passengers and reserves 3152km (1702nm). 
ER variant range with 70 passengers and reserves 3763km (2032nm).","Operating empty 19,595kg (43,200lb), standard max takeoff 32,885kg (72,500lb), 
ER max takeoff 34,020kg (75,000lb).","Wing span 23.01m (75ft 6in), length 32.41m (106ft 4in), height 7.29m (23ft 11in).","Flightcrew of two. Typical main cabin seating for 70 passengers at 79cm (31in) pitch and four abreast. Optionally can seat 72 or 78 passengers.","By early 2011, total CRJ-700 deliveries stood at 310 with 11 on order.","Bombardier's 70 seat Canadair CRJ-700 is the first significant development of its fast selling 50 seat Canadair Regional Jet series. 

Definition and development work on the Series 700 commenced in 1995 when Bombardier began consultation with a 15 member airline advisory panel on what the airlines wanted in a 70 seat class regional jet. Prior to its January 1997 formal launch the Series 700 was dubbed the CRJ-X. 

Construction of the first prototype Series 700 began in late 1998 and first flight took place in May 1999. The CRJ-700 entered service in February 2001 with French airline Brit Air. 

Compared with the 50 seat CRJ Series 100/200, the Series 700 is stretched by 4.72m (15ft 6in) with plugs forward and aft of the wing, while the cabin is 6.02m (19ft 9in) longer, aided by moving the rear pressure bulkhead 1.29m (4ft 3in) aft. The cabin windows are raised by 12cm (5in), the cabin floor is lowered slightly and the ceiling raised to provide 1.90m (6ft 3in) headroom, and an underfloor baggage compartment under the forward fuselage is added. Other changes include relocating the APU to the rear fuselage and redesigned overhead stowage bins. 

The wing too comes in for attention, with span increased by a 1.83m (6ft 0in) wing root plug, while the leading edge is extended and high lift devices added. The main undercarriage units are lengthened and fitted with new wheels, tyres and brakes. 

Power is from two FADEC equipped General Electric CF-34-8C1 turbofans (which were selected in February 1995), while the flightdeck is based on that in the earlier CRJs and features six CRT displays presenting information from the Collins Pro Line 4 EFIS avionics suite. 

Like other Bombardier aircraft, the CRJ Series 700 is the product of a joint manufacturing effort. Canadair manufactures the wing and flightdeck and is responsible for final assembly, Mitsubishi builds the aft fuselage, Shorts is responsible for the fuselage and engine nacelles Avcorp the tail, and Westland the tailcone.","https://www.airliners.net/aircraft-data/canadair-cl-600-regional-jet-crj-700/126"
"CAP Aviation CAP-10/20/21/230/231/232","France","Single and two seat aerobatic light aircraft","CAP-10B - One 135kW (180hp) Textron Lycoming AEIO-360-B2F fuel injected flat four piston engine driving a two blade fixed pitch Hoffmann propeller.
CAP-21 - One 150kW (200hp) AEIO-360-A1B driving a two blade variable pitch Hartzell prop. 
CAP-232 - One 224kW (300hp) AEIO-540-L1B5 flat six driving a three or four blade constant speed Mühlbauer propeller.","CAP-10B - Max speed 270km/h (146kt), max cruising speed at 75% power 250km/h (135kt). Initial rate of climb 1575ft/min. Service ceiling 16,400ft. Range with max fuel 1000km (540nm). 
CAP-21 - Max cruising speed at 75% power 265km/h (143kt). Initial rate of climb 2755ft/min. Endurance with max fuel two hours. 
CAP-232 - Max speed 339km/h (183kt). Initial rate of climb 3000ft/min. Service ceiling 15,000ft. Range with max fuel 1200km (647nm).","CAP-10B - Empty equipped 550kg (1213lb), max takeoff in aerobatic category 760kg (1675lb), or 830kg (1829lb) in utility category. 
CAP-21 - Empty 500kg (1103lb), max takeoff 620kg (1367lb). 
CAP-232 - Empty 590kg (1300lb), max takeoff 816kg (1800lb).","CAP-10B - Wing span 8.06m (26ft 5in), length 7.16m (23ft 6in), height 2.55m (8ft 5in). Wing area 10.9m2 (116.8sq ft). 
CAP-21 - Wing span 8.08m (26ft 6in), length 6.46m (21ft 3in), height 1.52m (5ft 0in). Wing area 9.2m2 (99.0sq ft).
CAP-231 - Wing span 8.08m (26ft 6in), length 6.75m (22ft 2in), height 1.90m (6ft 3in). Wing area 9.9m2 (106.1sq ft).","Two side by side in CAP-10, all others pilot only.","More than 275 CAP-10s and 10Bs, 40 CAP-21s, approximately 30 CAP-231s and 231EXs and 10 CAP-232s built.","The successful CAP series of aerobatic aircraft dates back to the Piel CP-30 Emeraude of the early 1960s. 

Claude Piel designed the two seat Emeraude in France in the early 1960s for kit builders, but more than 200 were built in four different factories across Europe. The Emeraude first flew in 1962 and was built in basic 50kW (65hp) Continental A65 power CP-30 form and 65kW (90hp) Continental C90 CP-301 Super Emeraude form. 

One of the companies to build the Emeraude was CAARP, a company owned by Auguste Mudry. CAARP used the basic Emeraude design as the basis for the CAP-10, which was a similar aircraft other than its 135kW (180hp) Lycoming IO-360 engine and stressing for aerobatic flight. The prototype CAP-10 first flew in August 1968. CAARP built 30 CAP-10s for the French air force before Mudry started production for civil orders in 1972 at his other aviation company, Avions Mudry. 

The CAP-10 remains in production today in 10B form with an enlarged tail. The CAP-20 meanwhile was a single seat development with a 150kW (200hp) AIO-360 engine. 

The updated CAP-21 replaced the CAP-20 in 1981. The CAP-21 combined the fuselage of the CAP-20 with an all new wing and new undercarriage, and forms the basis for the similar CAP-231, CAP-231EX (with a carbon fibre wing) and latest CAP-232. 

Following Mudry's bankruptcy in 1996, Akrotech Europe took over the CAP series in May 1997, and in January 1999 changed name to CAP Aviation.","https://www.airliners.net/aircraft-data/cap-aviation-cap-102021230231232/32"
"CASA C212 Aviocar","Spain","STOL turboprop regional airliner and utility transport","C212C - Two 580kW (775shp) Garrett AiResearch (now AlliedSignal) TPE3315251C turboprop engines driving four blade propellers. Series 300 - Two 670kW (900shp) TPE33110R513Cs.","C212C - Max speed 370km/h (199kt), max cruising speed 359km/h (194kt), economical cruising speed 315km/h (170kt). Range with max fuel and 1045kg (2303lb) payload 1760km (950nm), range with max payload 480km (258nm). Series 300 - Max operating speed 370km/h (200kt), max cruising speed 354km/h (191kt), economical cruising speed 300km/h (162kt). Range with 25 passengers and reserves at max cruising speed 440km (237nm), with 1700kg (3770lb) payload 1435km (775nm).","C212C - Empty 3700kg (8157lb), max takeoff 6300kg (13,890lb). Series 300 - Empty 3780kg (8333lb), operating empty 4560kg (10,053lb), max takeoff 7700kg (16,975lb).","C212C & Series 200 - Wing span 19.00m (62ft 4in), length 15.20m (49ft 11in), height 6.30m (20ft 8in). Wing area 40.0m2 (430.6sq ft). Series 300 - Wing span 20.28m (66ft 7in), length 16.15m (53ft 0in), height 6.60m (21ft 8in). Wing area 41.0m2 (441.3sq ft).","Flightcrew of two. Max passenger seating for 26, typical layout for 22 passengers at three abreast. Freighter version can accommodate three LD3 containers or two LD2s or two LD727/DC-8s. Max payload 2700kg (5950lb).","Over 435 Aviocars of all models built, including 170 for commercial operators and 265 for military customers. IPTN in Indonesia has built over 90 NC212s under licence.","Initially conceived as a light STOL transport for the Spanish air force, the CASA C212 has found a handy market niche and is highly regarded for its utility in underdeveloped regions. 

Designed to replace the Spanish air force's mixed transport fleet of Douglas C47 Dakotas, CASA Azors and Junkers Ju 52s still in service in the 1960s, the C212 was also developed with the intention of offering a civil variant. Design work began in the late 1960s, the first prototype made the type's first flight on March 26 1971. Preproduction examples followed, then the type entered air force service in 1974. The first commercial version was delivered in July 1975. 

The basic civil version was designated the C212C, the military version the C2125. Production of these models ceased in 1978, CASA switching to the Series 200 with more powerful engines and higher operating weights. The first Series 200, a converted C212C prototype, flew for the first time in its new configuration on April 30 1978. A third development of the Aviocar is the Series 300 which first flew in 1984 and was certificated in late 1987. Improvements to this model are newer engines and winglets. 

The latest development is the C212-400, which was launched at the 1997 Paris Airshow (after its first flight on April 4 that year). It features TPE331-12JR engines which maintain their power output to a higher altitude for improved hot and high performance and an EFIS flightdeck.","https://www.airliners.net/aircraft-data/casa-c212-aviocar/136"
"CASA/IPTN CN235","Spain and Indonesia","Utility transport and 45 seat regional airliner","Two 1395kW (1870shp) General Electric CT7-9C turboprops, driving four blade constant speed Hamilton Standard propellers.","CN235-100 - Max speed 509km/h (275kt), max cruising speed 454km/h (245kt). Initial rate of climb at sea level 1780ft/min. Range with max payload and reserves at 18,000ft 796km (430nm).","CN235-100 - Operating empty 9800kg (21,605lb), max takeoff 15,100kg (33,290lb).","Wing span 25.81m (84ft 8in), length 21.40m (70ft 3in), height 8.18m (26ft 10in). Wing area 59.1m2 (636.17sq ft).","Flightcrew of two. Passenger accommodation in airliner version for 45 four abreast. Quick change convertibles can carry mixtures of passengers and LD2 or LD3 containers. Cargo version can carry four LD3s or five LD2s or palletised freight.","Out of total orders for 230 CN235s, 47 have been for civil customers. Over 30 are currently in airline service.","The CN235 regional airline and military tactical transport was developed and manufactured jointly by CASA from Spain and IPTN from Indonesia (the latter initially as Nurtanio, and as of October 1985 as Nusantara). A new company Airtech was formed to manage the program, but Airtech was not an aircraft manufacturer and never owned or operated any factories.

Each country built one prototype, and these rolled out simultaneously on 10 September 1983. The Spanish prototype flew first, on 11 November 1983, with the Indonesian-built aircraft following on 30 December 1983. Certification by both Spanish and Indonesian authorities and first deliveries (from the Indonesian line) occurred in December 1986. Entry into commercial service was in March 1988. 

Final assembly lines for the CN235 are in Spain and Indonesia, but all other construction is not duplicated. CASA is responsible for the centre and forward fuselage, wing centre section and inboard flaps, and engine nacelles. IPTN builds outer wings and flaps, ailerons, the rear fuselage and the tail unit. 

The initial production CN235-10 was soon replaced by the CASA-built CN235-100 and IPTN's CN235-110, incorporating CT7-9C engines in place of CT7-7As, and new composite engine nacelles. Further improvements led to the CASA CN235-200 and similar IPTN CN235-220 with increased operating weights, better field performance and greater range, with structural improvements and improved leading edge flaps and rudder. The CN235-220 was certificated in March 1992. CASA and IPTN now develop their own CN235 variants independently. 

Other variants on the CN235 theme are the CN235 QC quick change capable of carrying passengers or freight or both; IPTN's CN235 MPA maritime patrol aircraft and CASA's CN235MP Persuader (which while primarily aimed at military customers, have customs and boarder patrol applications); and the widely ordered CN235 M multirole military freighter. CASA later developed the stretched C-295, primarily for military use. 

The CN235 has succeeded in achieving only a small number of commercial orders, mostly from Indonesian and Spanish operators. In contrast the CN235's spacious interior and rear loading ramp has helped it win a significant number of military orders.","https://www.airliners.net/aircraft-data/casaiptn-cn235/137"
"Cessna 150 & 152","United States of America","Two seat primary and aerobatic capable trainer","150 - One 75kW (100hp) Continental O-200A flat four piston engine driving a two blade fixed pitch prop. 
A152 Aerobat - One 80kW (108hp) Lycoming O-235-N2C.","150 - Max speed 200km/h (108kt), optimum cruising speed 196km/h (106kt). Initial rate of climb 640ft/min. Service ceiling 15,300ft. Range 563km (304nm). 
150M - Max speed 201km/h (109kt), max cruising speed 196km/h (106kt), economical cruising speed 159km/h (86kt). Initial rate of climb 670ft/min. Service ceiling 12,250ft. Max range with no reserves 909km (490nm), or 1424km (769nm) with optional fuel.
A152 - Max speed 200km/h (108kt), cruising speed 195km/h (105kt). Initial rate of climb 715ft/min. Range 575km (310nm).","150 - Empty 447kg (985lb), max takeoff 681kg (1500lb). 
150M - Empty 458kg (1010lb), max takeoff 726kg (1600lb). 
A152 - Empty 513kg (1131lb), max takeoff 760kg (1675lb).","150 - Wing span 10.17m (33ft 4in), length 6.56m (21ft 6in), height 2.11m (6ft 11in). Wing area 14.8m2 (159.5sq ft). 
150M - Wing span 10.21m (33ft 6in), length 6.58m (21ft 7in), height 2.39m (7ft 10in). Wing area 14.6m2 (157sq ft). 
A152 - Wing span 10.17m (33ft 4in), length 7.25m (24ft 1in), height 2.59m (8ft 6in). Wing area 14.9m2 (160sq ft).","Typical seating for two side by side.","Total 150 and 152 production amounts to 31,289 aircraft over 27 years, comprising 6860 US built 152s, 589 French built 152s, 22,082 US built 150s and 1758 French built 150s, and 39 Argentinian built A-150s.","The introduction of the Cessna 150 marked Cessna's return to the two seat trainer market after a six year absence and resulted in the most prolific and successful two seat trainer line in history. 

Development of the original 150 began in the mid 1950s, resulting in a first flight in September 1957. This modern, all new aircraft followed the Cessna conventions then gaining favour of a strut braced high wing, all metal construction and tricycle undercarriage. Production began in September 1958. 

What followed was a continuous process of product improvement, although throughout the 150 model life the Continental O-200A powerplant remained unchanged. One of the most significant model changes was the 150D of 1964 which introduced the wraparound rear window. Most versions were built in Standard, Commuter and Trainer forms with differing equipment levels, while licence production was undertaken in France by Reims and in Argentina by DINFIA. Aerobat versions were stressed for limited aerobatic work. 

The 152 was a response to availability problems with 80/87 octane fuel, and used the 150's fuselage coupled with a Lycoming O-235 running on 100 Octane. The 152 replaced the 150 from 1977 and remained in production until late 1985. It too was progressively updated, offered in A152 Aerobat form, and also built in France.","https://www.airliners.net/aircraft-data/cessna-150-152/138"
"Cessna 170","United States of America","Four seat light aircraft","170 - One 110kW (145hp) Continental C1452 flat six piston engine driving a two blade fixed pitch McCauley propeller. 
170B - One 110kW (145hp) Continental O300A.","170 - Max speed 225km/h (122kt), max cruising speed 195km/h (106kt). Initial rate of climb 690ft/min. Service ceiling 15,000ft. Range 952km (514nm) 
170B - Max speed 230km/h (124kt), max cruising speed 195km/h (106kt). Initial rate of climb 690ft/min. Service ceiling 15,500ft. Range 950km (513nm).","170 - Empty 554kg (1220lb), max takeoff 998kg (2200lb). 
170B - Empty 547kg (1205lb), max takeoff 998kg (2200lb).","Wing span 10.97m (36ft 0in), length 7.61m (24ft 11.5in), height 2.01m (6ft 7in). Wing area 16.2m2 (174sq ft).","Typical seating for four.","In production between 1948 and 1957, 5173 Cessna 170s were built, including 730 170s and 1537 170As.","A larger four seat development of the earlier Cessna Model 120 and 140, the four seat 170 was in production for almost a decade, and is the predecessor to the successful and long running 172 series. 

The prototype Cessna 170 (NX41691) flew for the first time in September 1947. Notable features included the six cylinder 110kW (145hp) Continental C145 engine, extensive metal construction and the characteristic Cessna braced high wing. 

The first production Cessna 170s were delivered from March 1948, but this model was soon replaced by the improved 170A. The primary improvement with the 170A was metal instead of fabric covered wings, but it also featured increased tail area. 

The third and final major variant appeared in 1952. The Cessna 170B featured the most significant revisions to the line, including the large wing flaps (first developed for the military L-19 Bird Dog) that were to become characteristic of later single engine Cessna models, revised tail wheel steering, larger rear windows and revised and lengthened engine cowling. 

The 170 remained in production until 1957, by which stage its popularity had waned and sales of the 172 had taken off. The early 172 was a direct development of the 170, but introduced tricycle undercarriage and squared up vertical tail surfaces. 

It is interesting to note that the 170 laid the foundation for Cessna's two most successful single engine light aircraft lines, the 172 and 182, as well as the 180 and 185. Apart from the 172 tricycle undercarriage development the 180 was developed as a more powerful, higher performance version of the 170, while the subsequent 182 was originally a tricycle undercarriage evolution of the 180.","https://www.airliners.net/aircraft-data/cessna-170/139"
"Cessna 172 Skyhawk (early models) & 175 Skylark","United States of America","Four seat light aircraft","172 - One 110kW (145hp) Continental O-300A flat six piston engine driving a two blade fixed pitch McCauley propeller. 
175A - One 120kW (175hp) Continental GO300C geared flat six. 
172F - One 110kW (145hp) Continental O300C.","172 - Max speed 217km/h (117kt), cruising speed 200km/h (108kt). Initial rate of climb 660ft/min. Service ceiling 15,100ft. Range with no reserves 1000km (539nm). 
175A - Max speed 236km/h (128kt), max cruising speed 225km/h (121kt), long range cruising speed 170km/h (91kt). Initial rate of climb 850ft/min. Service ceiling 15,900ft. Range with no reserves 957km (517nm). 
172F - Max speed 222km/h (120kt), max cruising speed 211km/h (114kt), long range cruising speed 164km/h (88kt). Initial rate of climb 645ft/min. Service ceiling 13,100ft. Max range with no reserves 1158km (625nm).","172 - Empty 572kg (1260lb), max takeoff 998kg (2200lb). 
175A - Empty 607kg (1339lb), max takeoff 1066kg (2350lb). 
172F - Empty 599kg (1320lb), max takeoff 1043kg (2300lb).","172 - Wing span 10.92m (35ft 10in), length 8.20m (26ft 11in), height 2.59m (8ft 6in). Wing area 16.2m2 (175sq ft).
175A - Wing span 10.97m (36ft 0in), length 8.08m (26ft 6in), height 2.72m (8ft 11in). 
172F - Wing span 11.02m (36ft 2in), length 8.07m (26ft 6in), height 2.72m (8ft 11in).","Typical seating for four in all models.","Total Cessna 172 family production over 42,500, of which the civil Continental powered models account for about 15,800. Production ran from 1955 to 1967. Approximately 2190 Skylarks built.","The Cessna 172 is without doubt the most successful mass produced light aircraft in history. From 1955 through to 1967 the 172 was powered by the six cylinder Continental O-300, before this engine was replaced by the four cylinder Lycoming O-320. 

The Cessna 172 started life as a relatively simple tricycle undercarriage development of the taildragger 170, with a fairly basic level of standard equipment. First flight was in November 1955. The 172 became an overnight sales success and over 1400 were built in 1956, its first full year of production. 

The basic 172 remained in production until replaced by the 172A of early 1960. The 172A introduced a swept back tail and rudder, while the 172B of late 1960 introduced a shorter undercarriage, equipment changes and for the first time the Skyhawk name for the Deluxe option. 

The 172D of 1963 introduced the cut down rear fuselage with wraparound rear window. The 172F introduced electric flaps and was built in France by Reims Cessna as the F172 through to 1971. It also formed the basis for the US Air Force's T-41A Mescalero primary trainer. The 172G of 1966 introduced a more pointed spinner, while the 172H was the last Continental powered 172. 

The 175 (Skylark for the Deluxe option) meanwhile was powered by a 130kW (175hp) geared GO-300, the GO-300 powered P172D Powermatic of 1963 had a constant speed prop. The 1966 R172E had a Continental IO-360 and a constant speed prop. It was built in France as the FR172 Reims Rocket.","https://www.airliners.net/aircraft-data/cessna-172-skyhawk-early-models-175-skylark/140"
