Model_ID,Seating_Config,Cargo_Vol,Configurations
airbusa340200300,"Flightcrew of two. 
A340-200 - Typical three class arrangement for 263 pax, or 303 in two classes. 
A340-300 - Typical three class accommodation for 303, or 335 in two classes. Fore and aft underbelly holds can accommodate LD3 containers or pallets.",,
airbusa340500600,A340-500 - Flightcrew of two. Typical three class seating for 316 passengers. A340-600 Typical three class seating for 372.,,
airbusa380,"A380-800 - Flightcrew of two. Standard seating for 555 passengers on two decks in a three class arrangement. Qantas plans to fit its aircraft with 523 seats (in three classes). A380 has 49% more floor area but only 35% more seats (in 555 seat configuration) than the 747-400, allowing room for passenger amenities such as bars, gymnasiums and duty free shops. Cargo capacity 38 LD3s or 13 pallets.",,
americanchampionbellancaseries,Two in tandem. Scout can be fitted for crop spraying.,,
antonovan12shaanxiy8,"Flightcrew consisting of two pilots, a flight engineer, radio operator and navigator housed (the latter in the glazed nose). Can be arranged to accommodate 14 passengers plus freight, with military versions carrying up to 90 troops. Max payload 20,000kg (44,090lb).",,
antonovan124ruslan,"Flightcrew of six consisting of two pilots, two flight engineers, navigator and communications operator. Upper deck behind the flightdeck area features a galley, rest room and two relief crew cabins. Upper deck area behind the wing can accommodate up to 88 passengers. Main deck cargo compartment can carry a range of bulky and oversized cargos. The An-124's total payload in weight is 150 tonnes (330,695lb).",,
antonovan140,An-140 - Flightcrew of two. Typical passenger seating for 52 at four abreast and 75cm (30in) pitch or 48 at 81cm (32in) pitch. Forward starboard freight door allows 1900 to 3650kg (4188 to 8046lb) of palletised freight and 36 or 20 passengers to be carried in a combi configuration.,,
antonovan22antei,"Flightcrew of up to six, comprising two pilots, navigator, flight engineer and a communications specialist. Up to 29 passengers can be accommodated on the upper deck behind the cockpit. The unpressurised main cabin can house a range of oversize payloads such as main battle tanks. Total An-22 payload is 80,000kg (176,350lb).",,
antonovan225mriya,Maximum load: 551150lbs (250000kg),,
antonovan24263032xiany7,"Flightcrew of two pilots and flight engineer, plus optional accommodation for a radio operator. Seating arrangements for up to 50 passengers at four abreast. Max payload 5500kg (12,125lb).",,
antonovan38,"Flightcrew of two. Standard passenger seating for 26 at three abreast, optionally 27 seats at 75cm (29in) pitch.",,
antonovan7274,"Flightcrew of three (two pilots and a flight engineer) for the An-72. An-74 also has provision for a radio operator. Main cabin designed primarily for freight, in which role it can carry a payload of 10 tonnes (22,045lb) including four UAK2.5 containers, or four 2.5 tonne (5510lb) PAV2.5 pallets. An-72 can seat 68 on removable seats, while the An-74 when configured for combi passenger/freight tasks can carry eight support crew.",,
antonovpzlmielecan2,"Flightcrew of one or two pilots. Passenger accommodation for 12 at three abreast. Agricultural versions have large chemical hoppers (1400 litres/308Imp gal/370US gal of liquid chemical or 1200kg/2645lb of dust in the An-2S, or 1960 litres/430Imp gal/517US gal for the An-2M) with spray bars along the lower wing.",,
antonovpzlmielecan28,Flightcrew of two. Typical passenger seating for 17 at three abreast and 72cm (28in) pitch. High density seating for 20.,,
atratr42,"Flightcrew of two. Maximum passenger accommodation for 50, 48 or 46 at 76cm (30in) pitch and four abreast. Typical seating arrangement for 42 at 81cm (32in) pitch. 
ATR-42 Cargo - Nine containers with a 4000kg payload.",,
atratr72,"Flightcrew of two. Max seating for 74 passengers at four abreast and 76cm (30in) pitch. More typical seating for between 64 and 70 passengers, with seat pitch starting from 81cm (32in). With larger forward freight door fitted it can accommodate a payload of 7200kg (15,875lb) in 13 containers. ATR-52C - 7500kg (16,535lb) payload comprising pallets or five LD3 containers.",,
austerjseries,"Two pilots side by side, plus room for one or two passengers, depending on model type. Most J/5s seat four.",,
aviata1husky,Typical accommodation for two in tandem.,,
aviationtradersatl98carvair,Flightcrew of two. Maximum seating in a passenger configuration for 85 at five abreast at 86cm (34in) pitch. When used as a car ferry it was typically outfitted to carry five cars plus 22 passengers in the rear cabin.,,
ayresthrushrockwellthrushcommander,"Pilot only, S2R offered with an optional second seat. S2R chemical hopper capable of holding 1514 litres or 1487kg of chemicals.",,
bac111oneeleven,"Flightcrew of two. 
Srs 200/300/400/475 - Single class seating for up to 89 passengers. 
Srs 500 - Typical seating for 97-109 passengers, max seating for 119.",,
baesystemsavrorjx85100,"Flightcrew of two.
RJX85 - Typical seating for 85 at five abreast or 100 at six abrest.
RJX100 - Typical seating for 100 at five abreast or 112 at six abreast.",,
beagleb121pup,"100 - Two side by side, plus two children behind. 
150 - Three adults and one child.",,
beagleb206,Eight comprising one or two pilots plus six passengers behind them.,,
beech18,Most Beech 18s seat two crew and seven to nine passengers in main cabin. Volpar Turboliner conversion seats up to 15.,,
beech192324musketeersierrasportsundowner,All versions seat four. Additional seating for two children in Musketeer Super III.,,
beech2000starship1,Flightcrew of one or two pilots. Standard passenger layout for eight in 2000 or six in 2000A.,,
beech35bonanza,"Models 35 through to J35 seat four people, K35 optional fifth passenger, later models from S35 onwards six people.",,
beech60duke,Standard seating for four with optional fifth and sixth seats and toilet.,,
beech65708088queenair,"One or two pilots and up to nine passengers in commuter configuration, or six passengers in executive transport role.",,
beech76duchess,Seats for four.,,
beech77skipper,Two seated side by side.,,
beech99airliner,Flightcrew of one or two. Typical passenger accommodation for 15 at two abreast. Baggage stowed in nose compartment and underbelly cargo pod.,,
bell204205214b,"204B - Total accommodation for 10 people, including one or two pilots, or 1360kg (3000lb) of freight. 205A1 - Total accommodation for 15 including one or two pilots plus 1815kg (4000lb) of cargo internally, or 2270kg (5000lb) externally on a sling load. Air ambulance configuration for six stretchers and one or two medical attendants.",,
bell206jetranger,"Total accommodation for five, including one pilot and one passenger in the front, and three behind them on the rear bench seat. Max internal payload (Model 206B) 635kg (1400lb), max external sling load 680kg (1500lb).",,
bell206llongranger,"Total seating for seven, including five passengers in main rear cabin, or four in an optional executive layout. Can accommodate two stretchers and two medical attendants in aerial ambulance configuration. External sling load capacity of 907kg (2000lb).",,
bell206lttwinrangertridairgeminist,"Typical seating for seven, including pilot, in three rows (2+2+3). Executive configuration has club seating for four in main cabin.",,
bell212twintwotwelve,"Total seating for 15, including one or two pilots. Max weight on an external sling load 2270kg (5000lb).",,
bell214stsupertransport,Pilot and copilot and up to 16 or 17 passengers. Freight volume of 8.95m3 (316cu ft). Can carry an external sling freight load of 3630kg (8000lb).,,
bell222230,"Standard seating for eight, including pilot, in four rows. Alternatively four in main cabin in club configuration.",,
bell407,"Typical seating configuration for seven comprising pilot and passengers, with five passengers in main cabin. Max hook capacity 1200kg (2645lb).",,
bell412,"Total seating for 15, including one or two pilots. Maximum weight of an external sling load 2040kg (4500lb).",,
bell427,"Pilot and up to seven passengers (in a 2+3+3 arrangement), or pilot and passenger side by side with seating for four in a club configuration in main cabin. In medevac configuration two stretcher patients and two medical attendants.",,
bell430,"Typical seating configuration for 10 comprising pilot and passenger, with eight passengers in main cabin behind them in three rows of seats. Six and eight place executive layouts offered. In EMS role can carry one or two stretcher patients with four or three medical attendants respectively. Max hook capacity 1585kg (3500lb).",,
bell47,47G - Pilot and two passengers on a single bench seat. 47J Ranger - One pilot and three passengers.,,
bellagustaba609,To be certificated for single pilot IFR operation. Main cabin seats six to nine passengers depending on configuration. Could also be configured for search and rescue/medevac.,,
berievbe200,"Flightcrew of two. In firefighting configuration can uplift 12 tonnes (26,460lb) of water. Alternative seating for 68 economy class, or 10 to 32 first class passengers, with a seating pitch up to 102cm (40in). Ambulance configuration seats seven medical attendants and 30 stretcher patients. Can carry 8 tonnes (17,635lb) of freight in cargo configuration.",,
berievbe3032,"Flightcrew of two. Typical passenger arrangements for 14 (Be-30) to max 17 (Be-32) at two abreast. Corporate shuttle configuration seats seven. Ambulance configuration can accommodate nine stretcher patients, six seated patients and one medical attendant. Baggage hold volume Be-30 forward 0.3 + 0.3m3 (10.6 + 10.6cuft), aft 1.6m3 (56.5cuft), Be-32 1.33m3 (47cuft).",,
boeing707,"Flightcrew of three or four. 
707-120 max seating for 179, or 110 in two classes (44 first and 66 economy).
707-320B - Max seating for 219, or 189 single class at 81cm (32in) pitch, or 147 in two classes. 
Convertible or freighter versions - 13 A type containers.",,
boeing717,Flightcrew of two. Typical two class seating for 106 passengers at five abreast in main cabin. Single class seating for 117.,,
boeing720,"Flightcrew of three comprising two pilots and a flight engineer. Typical seating for 112 in two classes, max seating for 149, later approved (for Eastern Air Lines) for 165.",,
boeing727100,"Flightcrew of three (two pilots and flight engineer). Typical two class seating for 94, max seating for 131.",,
boeing727200,"727-200 - Max seating for 189 at six abreast and 76cm (30in) pitch, typical two class seating for 14 premium class and 131 economy class passengers.
727-200F - Typical max payload comprises 11 2.23m x 3.17m (7ft 4in x 10ft 5in) pallets.",,
boeing737100200,"Flightcrew of two. 
737-100 - Typical single class seating for 100. 
737-200 - Typical single class seating for 115, max seating for 130 at 74cm (29in) pitch.
737-200C/QC payload 15,545kg (34,270lb), consisting of pallets or containers.",,
boeing737300,"Flightcrew of two. Typical two class seating for 128 (eight premium class four abreast and 120 economy class six abreast), standard one class seating for 141 at six abreast and 81cm (31in) pitch, max seating for 149 at 76cm (30in) pitch.",,
boeing737400,"Flightcrew of two. Typical two class seating for 146 (eight premium, 138 economy), typical all economy for 159 at 81cm (32in) pitch, or max seating for 188.",,
boeing737500,"Flightcrew of two. Typical two class seating for 108 (eight first and 100 economy), or max single class seating for 132 at 76cm (30in) pitch.",,
boeing737600700,"Flightcrew of two. 
737-600 - 110 passengers in two classes or 132 in a single class. 
737-700 - 126 in two classes or 149 in a single class.",,
boeing737700800bbjbbj2,"Flightcrew of two. 
BBJ - Main cabin interiors to customer preference. Typical configuration includes a crew rest area, forward lounge, private suite with double bed and private bathroom facilities including shower, 12 first class sleeper seats at four abreast and 152cm (60in) pitch, and rear galley and bathroom facilities. Alternatively rear cabin can seat 24 passengers at two abreast and feature a conference area or exercise gym, or up to 63 passengers at six abreast.",,
boeing737800900,"Flightcrew of two. 
737-800 - Typical two class seating for 162 with 12 first class passengers at four abreast and 91cm (36in) pitch and 150 economy class at six abreast and 81cm (32in) pitch. Max single class seating for 189 at 76cm (30in) pitch.
737-900 - Typical two class seating for 177, with 12 first class at four abreast and 91cm (36in) pitch, max seating for 189 in a single class at 81cm (32in) pitch.",,
boeing747100200,"Flightcrew of three (two pilots and flight engineer). Seating arrangements include 397 in three classes, 452 in two classes (32 first & 420 economy), all economy seating for 447 nine abreast or up to 500 ten abreast. 747-200F - Max payload of 112,400kg (247,800lb) consisting of containers, pallets and/or igloos.",,
boeing747300,"747-300 - Flightcrew of three, with two pilots and one flight engineer. Typical two class seating arrangement for 470 (50 business class including 28 on the upper deck and 370 economy class).",,
boeing747400,"747-400 - Flightcrew of two. Typical three class seating for 416 (23 first, 78 business and 315 economy class pax). Cargo hold 170.5m3 (6025cuft) or 151m3 (5332cuft). 
747-400 Domestic - Two class seating for 568 (24 first and 544 economy).
747-400 Combi - Typical arrangement for six or seven pallets and 266 three class passengers. 
747-400ER - Same as -400, but cargo hold 158.6m3 (5599cuft) or 137m3 (4837cuft).
747-400F - 30 pallets on the main deck and 32 LD1 containers in the lower hold.",,
boeing747sp,"Flightcrew of three comprising two pilots and one flight engineer. Max high density single class seating for 440, typical two class seating for 28 first class and 288 economy class passengers",,
boeing757200,"Flightcrew of two. 757-200 - Typical passenger arrangements vary from 178 two class (16 first & 162 economy), or 202 (12 first & 190 economy) or 208 (12 first and 196 economy) or 214 to 239 in all economy class. 757-200PF - Maximum of 15 standard 2.24 x 2.74m (88 x 108in) freight pallets on main deck.",,
boeing757300,"Flightcrew of two. Typical two class arrangement seats 240 passengers, comprising 12 premium class at 91cm (36in) pitch and 228 economy class at 81cm (32in) pitch. Max seating for 289 passengers in a high density configuration 71-74cm (28-29in) pitch.",,
boeing767200,"Flightcrew of two, or optionally three. Typical two class seating for 18 premium and 198 economy class pax. Max seating for 290 at eight abreast and 76cm (30in) pitch. Underfloor cargo holds can accommodate up to 22 LD2 containers.",,
boeing767300,"Flightcrew of two. Typical three class layout for 210, two class 269 (24 premium & 245 economy seven abreast) max seating for 350 at eight abreast. Underfloor capacity for 20 LD2s.",,
boeing767400,"Flightcrew of two. Typical three class arrangement for 245 passengers, comprising 20 first class at 152cm (60in) pitch, 50 business at 97cm (38in) and 175 economy at 81cm (32in).",,
boeing777200,Flightcrew of two. Passenger seating for 305 in three classes or up to 440. Underfloor capacity for up to 32 LD3 containers.,,
boeing777300,"Flightcrew of two. Typical passenger accommodation for 386 (30 first, 84 business and 254 economy) to 394 in three class arrangements, 400 to 479 in two class arrangements or up to 550 in an all economy high density configuration. Underfloor capacity for 20 standard LD3 containers or eight 2.55 x 3.17m (96 x 125in) pallets.",,
boeing7878dreamliner,"Flightcrew of two. Passenger seating is typically between 210 and 250 depending on customer layout.
Underfloor cargo capacity for up to 28 LD3 containers.",,
boeingb17flyingfortress,"Normal crew of six to ten. Bomb-aimer's compartment in extreme nose. Pilot's compartment seating two side-by-side with dual controls in front of leading-edge of wing. Aft of pilot's position is an upper electrically-operated two-gun turret. Radio-operator's position amidships. Two gun positions aft of the wings, one-two gun electrically-operated beneath the fuselage and one position in the extreme tail.",,
boeingc97stratofreighter,"Flightcrew of two pilots, flight engineer, and, in military service, a navigator and radio operator. When configured for passengers can seat more than 100 (Stratocruisers in airline service typically seated 55).",,
boeingcommercialchinook,"Two pilots on flightdeck. Seating for 44 at four abreast in main cabin. Combi versions seat between eight and 32 with rear cabin loaded with freight, or between 22 and 32 with freight on one side of main cabin. Max internal load of LR and MLR models 9070kg (20,000lb), ER and UT models 8730kg (19250lb). Max external sling load 12,700kg (28,000lb).",,
boeingmdexplorer,One pilot and passenger on front bucket seats with six passengers in main cabin in club seating arrangement. Max seating for 10 (including pilot). Alternatively can be configured with stretchers and seating for medical attendants.,,
boeingstearman,"Typical seating for two in tandem, or single pilot only when used for agricultural work.",,
boeingvertolkawasakikv107,"Flightcrew of two. Typical seating for 23 to 25 passengers in airliner configuration, or 12 passengers and freight in combi configuration. Executive configuration seats six to 11 passengers in main cabin.",,
bombardierbd100challenger300,"Flightcrew of two. Typical cabin arrangement for eight, with a two seat lounge opposite two facing seats, with club seating for four behind them, or double club seating. Features a forward wardrobe, refreshment centre and toilet. A high-density interior for 15 pax is also available.",,
bombardierbd700globalexpress,"Flightcrew of two plus one or two flight attendants. Typical arrangements seat from eight to 18 passengers. Can be fitted with a galley, crew rest station, work stations, a conference/lounge/dining area, a stateroom with a fold out bed, toilet, shower and wardrobe. High density 30 seat corporate shuttle configuration offered.",,
bombardierlearjet45,Flightcrew of two. Main cabin seating for eight to 10 passengers in a corporate configuration.,,
bombardierlearjet5560,55 - Flightcrew of two. Six different main cabin arrangements offered with seating ranging from four to eight. 60 - Flightcrew of two. Optional seating arrangements for six to nine passengers.,,
brantlyb2305,B2 series has seating for two side by side. 305 has seating for five with two forward individual seats and rear bench seat for three.,,
bristol170freighter,"Mk31 - Payload of 5670kg (12,500lb), or alternatively seating for 15 to 23 passengers, depending on configuration. 
Mk32 - could seat up to 60 passengers.",,
britishaerospaceatp,Flightcrew of two. Typical one class seating for 64 to 68 in ATP or 70 in Jetstream 61 at four abreast and 79cm (31in) pitch. Combi versions can take passengers and freight.,,
britishaerospaceavrorj7085100,"Flightcrew of two. 
RJ-70 - Single class seating for alternatively 70 passengers at 84cm (33in) pitch five abreast, or 82 passengers six abreast in a 84cm (33in) pitch configuration, or up to 94 six abreast at 74cm (29in) pitch.
RJ85 - Max seating in passenger cabin for 112 at six abreast and 74cm (29in) pitch. More typical seating configuration for 85 at five abreast and 84cm (33in) pitch.
RJ100 - Maximum seating of 128 passengers at six abreast and 74cm (29in) pitch. Seating arrangements also for 100 at 84cm (33in) pitch and five abreast, and 116 at six abreast.",,
britishaerospacebae146,"Flightcrew of two. 
146-100 - Single class seating for alternatively 70 passengers at 84cm (33in) pitch five abreast, or 82 passengers six abreast in a 84cm (33in) pitch configuration, or up to 94 six abreast at 74cm (29in) pitch.
146-100QT - capable of carrying standard size pallets or LD3 containers.
146-200 - Max seating in passenger cabin for 112 at six abreast and 74cm (29in) pitch. More typical seating configuration for 85 at five abreast and 84cm (33in) pitch.
146-200QT - Six standard LD3 containers. Max payload 11,827kg (26,075lb).
146-200QC - Max payload 10,039kg (22,132lb).
146-300 - Maximum seating of 128 passengers at six abreast and 74cm (29in) pitch. Seating arrangements also for 100 at 84cm (33in) pitch and five abreast, and 116 at six abreast.
146-300QT - Standard 2.74 x 2.24m (108 x 88in) pallets, or LD3 containers. Max payload of 12,490kg (26,075lb).",,
britishaerospacejetstream31super31,"Flightcrew of two. Main cabin seating for up to 19 at three abreast and 79cm (31in) pitch, or 12 passengers in a corporate shuttle configuration, or nine in an executive layout.",,
britishaerospacejetstream41,"Flightcrew of two. Main cabin seating for up to 29 at three abreast, seating for 27 with galley. Corporate shuttle configured J41s seat 16 at two abreast.",,
brittennormanbn2islander,"Flightcrew of two pilots or pilot and passenger on flightdeck, with seating for eight in main cabin. Air ambulance accommodates three stretcher patients and two medical attendants.",,
brittennormanbn2amk3trislander,Usually one pilot and passenger on flightdeck. Seating for 16 passengers two abreast at 79cm (31in) pitch in main cabin.,,
canadaircl215415,"Flightcrew of two, plus accommodation in special missions variants for a third flightdeck member, a mission specialist and two observers. Passenger configuration for 30 at 79cm (31in) pitch, or in a combi configuration for 11, with firebombing tanks retained and freight in forward fuselage. Fire retardant payload capacity of 6123kg (13,500lb).",,
canadaircl44yukon,"Flightcrew of two pilots and one flight engineer. CL-44D-4 - Max single class seating for 160 passengers (or 189 in the CL-44J). Max payload 29,959kg (66,048kg).",,
canadaircl600challenger600,"Flightcrew of two. Various customer seating options including 14, 15, 17 or 18 passenger configurations.",,
canadaircl600challenger601604,"Flightcrew of two. Various seating options available depending on customer preference, maximum permissible seating for 19.",,
canadaircl600regionaljetcrj100200,Flightcrew of two. Typical one class seating for 50 at four abreast and 79cm (31in) pitch. Max seating for 52. Corporate Jetliner corporate shuttle configurations seat from 18 to 30.,,
canadaircl600regionaljetcrj700,Flightcrew of two. Typical main cabin seating for 70 passengers at 79cm (31in) pitch and four abreast. Optionally can seat 72 or 78 passengers.,,
capaviationcap102021230231232,"Two side by side in CAP-10, all others pilot only.",,
casac212aviocar,"Flightcrew of two. Max passenger seating for 26, typical layout for 22 passengers at three abreast. Freighter version can accommodate three LD3 containers or two LD2s or two LD727/DC-8s. Max payload 2700kg (5950lb).",,
casaiptncn235,Flightcrew of two. Passenger accommodation in airliner version for 45 four abreast. Quick change convertibles can carry mixtures of passengers and LD2 or LD3 containers. Cargo version can carry four LD3s or five LD2s or palletised freight.,,
cessna150152,Typical seating for two side by side.,,
cessna170,Typical seating for four.,,
cessna172skyhawkearlymodels175skylark,Typical seating for four in all models.,,
cessna172skyhawklatermodels,Typical seating for four in all models.,,
cessna172rsskyhawk,Typical seating for four.,,
cessna177cardinal,Typical seating for four.,,
cessna180185skywagon,"180 has standard seating for four, 180 Skywagon and 185 have seating for six. 180H has optional 1360kg (3000lb) cargo pod. Often used with rear seats removed for cargo work. 185 AgCarryall is fitted with a 571 litre (126Imp gal/151US gal) chemical hopper.",,
cessna182skylane,Typical seating for four. Some models had optional jump seat for an extra two children.,,
cessna188agwagonseries,Pilot only in all models. Standard hopper capacity of 757 litres (166Imp gal/200US gal) for Agwagon & AgPickup; AgTruck & AgHusky have a 1059 litre (233Imp gal/280US gal) capacity.,,
cessna205206207,"205 & 206 seat six, 207 seats seven or eight.",,
cessna208caravanigrandcaravancargomaster,"208A - Pilot and typically nine passengers, or up to 14 with an FAA FAR Part 23 waiver. Cargo capacity 1360kg (3000lb). 
208B - Passenger accommodation same. Cargo capacity for 1587kg (3500lb). 
Grand Caravan - One pilot and up to 14 passengers.",,
cessna210centurion,"Typical seating for four with optional seating for extra two children in some models, or seating for six adults in later versions.",,
cessna310320,"310 - Five to six seats.
320 - Six to seven seats",,
cessna336337skymaster,Typical seating for six. Optional underbelly cargo pod.,,
cessna340335,"Typical seating for six, including one pilot.",,
cessna404titan,"Pilot and copilot on flightdeck, seating for eight in main cabin.",,
cessna411401402,"411 & 401 - Standard seating for six with a centre aisle between the four main cabin seats. 
402 - Six to eight seats in corporate configured Businessliner, 10 seats or freight in Utililiner.",,
cessna421414,"Standard seating for six, optional seating for eight in 421 and 414A, seven in 414.",,
cessna500501citationcitationicitationisp,"Two pilots for Citation and Citation I, single pilot for Citation I/SP. Optional main cabin layouts for five, six or seven passengers.",,
cessna560citationvultraultraencore,V - Typical seating for eight passengers. Ultra/Ultra Encore - Standard seating arrangements for seven or eight passengers.,,
cessna560xlcitationexcel,Flightcrew of two. Choice of four interior configurations with seating for up to 10 passengers in main cabin.,,
cessna680citationsovereign,"Flightcrew of two. Typical seating for eight passengers in a double club arrangement, max seating for 12.",,
cessnacitationiibravo,"S/II - Flightcrew of two. Main cabin can be optionally configured to seat 10, but standard interior layout for six. Can be configured as an air ambulance with one or two stretchers and up to four medical attendants. Bravo - Standard seating for seven with max seating for 10 in main cabin.",,
cessnacitationiiivivii,"Flightcrew of two. Typical main passenger cabin seating for six, or optionally up to nine.",,
cessnacitationx,"Flightcrew of two. Main cabin seating for up to 12 passengers seated on individual seats and couches in a high density configuration. Other interiors to customer preference, including eight passenger seats in a double club arrangement.",,
cessnacitationjetcj1cj2,"CitationJet & CJ1 - Two flightdeck positions, one for pilot, other for a copilot or passenger. Main cabin seats five in standard layout. CJ2 - Main cabin seats six in standard club arrangement.",,
cessnacorsairconquestiiicaravanii,"425 - Typical accommodation one or two pilots and four passengers in corporate configured main cabin, optional passenger seating for six. 441 - One or two pilots and up to nine passengers.",,
cessnat303crusader,"Normal seating for pilot and five passengers with central aisle between seats. Can be configured with a club seating arrangement for four in the main cabin, or for aerial ambulance or freighter work.",,
chichestermilesleopard,"Standard seating for four, but could alternatively be equipped for the medevac role with a pilot, stretcher patient and medical attendant.",,
cirrussr2022,Typical seating for four.,,
commander114b,Typical seating for four.,,
convair2403404405405806006405800,"240 - Flightcrew of two or three. Passenger seating for up to 40, or a 4240kg (9350lb) payload.
340 - Flightcrew of two or three. Passenger seating for up to 52, or a 6075kg (13,391lb) payload. 
440 - Flightcrew of two or three. Passenger seating for up to 52, or a 5820kg (12,836lb) payload.
580 - Flightcrew of two or three. Passenger seating for up to 56 at four abreast and 76cm (30in) pitch.",,
curtissc46commando,"Flightcrew of two pilots and optional flight engineer. Typical accommodation for freight, but in an airliner configuration can seat 36, or in military configuration 50 troops.",,
dassaultfalcon2000,"Flightcrew of two. Main cabin seating typically for eight passengers, or up to 12 in a high density layout.",,
dassaultfalcon50,"Flightcrew of two pilots. A number of cabin seating arrangements offered. Seating for eight or nine with aft toilet, or for up to 12 with forward toilet. Max accommodation for 19. Can accommodate three stretchers, two medical attendants and medical equipment in a medevac role.",,
dassaultfalcon900,"Flightcrew of two. Main passenger cabin seating for between eight and 15 passengers, or up to 18 in a high density configuration.",,
