Model_ID,Units_Built,Production_Years,Price_USD
bell206jetranger,"Over 7700 military and civil versions of the JetRanger have been built by Bell in the USA and Canada, AgustaBell in Italy and other licensees. More than 4400 built for civilian customers.",,
bell206llongranger,More than 1600 LongRangers have been delivered including a small number for military customers.,,
bell206lttwinrangertridairgeminist,Conversions to Gemini ST configuration commenced in early 1994. Deliveries of new build 206LTs began in early 1994. Only 13 have been built but it remains available to order.,,
bell212twintwotwelve,"Approximately 900 212s, including military aircraft, had been delivered by 1998. Production totals augmented by AgustaBell examples, although these are mainly military versions. Bell production transferred to Canada in 1988.",,
bell214stsupertransport,"The 214ST was in production during 1980 and 1990, during which time 100 were built.",,
bell222230,184 Bell 222s built. Bell built 38 230s between 1992 and August 1995.,,
bell407,200th 407 delivered in September 1997. Production runs at a rate of over 10 per month. 140 alone built in 1997.,,
bell412,"Over 420 Bell 412s of all models, civil and military, have been built. Production of the 412 switched to Bell's Canadian plant in February 1989.",,
bell427,"First deliveries January 2000, 10 delivered by October. Over 85 on order mid 2000.",,
bell430,Annual production rate of 55 aircraft planned from 1998.,,
bell47,Bell built more than 4000 47s between the late 1940s and 1974. AgustaBell of Italy licence built over 1200; Kawasaki of Japan 239; and Westland of the UK 239.,,
bellagustaba609,First deliveries planned for April 2002. Unit price $US810m depending on configuration. Potential market estimated at up to 1000 over the next two decades.,,
berievbe200,At late 1998 five firm orders were held.,,
berievbe3032,3 Be-30s and 5 Be-32s were built in the late 1960s before program terminated. One of the original Be-32s was converted to Be-32K demonstrator.,,
boeing707,Production of commercial 707s ended in 1978 after 878 had been built. Limited production of military variants continued until 1990. Approximately 130 remain in commercial service.,,
boeing717,"As of early 2003, 153 717s had been ordered, of which 111 had been delivered.",,
boeing720,"Between 1959 and 1969 Boeing built 65 720s and 89 720Bs (many 720s were converted to 720Bs). One in commercial service in Africa, three others used as corporate transports.",,
boeing727100,"Of the 582 727-100s built, almost 400 remained in commercial service in late 1998, with 40 more used as corporate jets.",,
boeing727200,"1831 727s of all models built when production ceased in 1984, including 1249 200s. Approx 940 727-200s in commercial service at late 1998, with a further 15 as corporate transports.",,
boeing737100200,"1144 737-100s and 200s built, comprising 30 100s and 1114 200s, including 19 T-43A (737-200) navigation trainers for the USAF and 104 737-200Cs. Approximately 1 737-100 and 550 737-200s remained in commercial and corporate service in early 2005.",,
boeing737300,"Grand total 737 orders stand at over 4236, of which over 1104 are for the 300. Approximately 1070 737-300s were in service at late 1998.",,
boeing737400,"Orders for the 737-400 stood at 473 at late 1998, of which approximately 470 were in airline service.",,
boeing737500,"At late 1998 737-500 sales stood at 387, of which 383 had been delivered.",,
boeing737600700,"737-600 - 81 ordered and 47 delivered by October 2002.
737-700 - 883 ordered and 465 delivered by October 2002.",,
boeing737700800bbjbbj2,"65 BBJs were ordered by February 2002, with 55 delivered, while 8 BBJ2s had been ordered with 5 delivered. Completed aircraft cost approx $US42 to 47m.",,
boeing737800900,"737-800 - 1028 ordered (including 8 BBJ-2s), with 664 (including 7 BBJ-2s) delivered by October 2002.
737-900 - 49 ordered, with 29 delivered by October 2002.",,
boeing747100200,"747-100/200 in production to 1991. 167 100s, 9 100Bs, 29 -100SR, 224 200Bs, 13 200Cs, 69 200Fs and 77 200Ms built, plus 12 military aircraft. Approx 144 100s and 360 200s in service in late 1998.",,
boeing747300,81 delivered 1983-90 with 78 in service in late 1998.,,
boeing747400,"Orders for the 747-400 as of August 2002 stood at 632 (of which 17 ER/ERF), of which 585 had been delivered. Total 747 sales stood at 1356.",,
boeing747sp,"Just 45 747SPs were built, of which approximately 18 remain in service by early 2005.",,
boeing757200,"987 757-200s had been ordered by late 2002, of which over 983 had been delivered.",,
boeing757300,"63 ordered by May 2002, of which 30 had been delivered.",,
boeing767200,"Total 767 sales in late 2002 stood at 934. 245 767-200/200ER orders were placed by this time, of which 240 had been delivered.",,
boeing767300,"652 767-300s (including ERs) had been ordered by late 2002, of which 607 had been delivered.",,
boeing767400,Orders for the 767-400 as of December 2001 stood at 40 with 24 aircraft delivered. In current production.,,
boeing777200,"Total 777-200 orders received as of early 2003 452, with 379 delivered.",,
boeing777300,Total 777-300 orders as of January 2003 stood at 121 (of which 56 300ER) with 44 delivered.,,
boeing7878dreamliner,"By Summer of 2011 there were over 700 orders for the 787-8 and 787-9 models. Deliveries to customers began in September 2011, with a 787-8 being received by All Nippon Airways.",,
boeingb17flyingfortress,"Total production 12731, comprising 1 Model 299, 13 Y1B-17, 1 Y1B-17A, 39 B-17B, 38 B-17C, 42 B-17D, 512 B-17E, 3405 B-17F (2300 by Boeing, 605 by Douglas, 500 by Lockheed-Vega), and 8680 B-17G (4035 by Boeing, 2395 by Douglas, 2250 by Lockheed-Vega). Many were converted to other models.",,
boeingc97stratofreighter,"Total military Model 367 production of 27 C-97s and 808 KC-97s, in addition to which 55 civil Model 377 Stratocruiser airliners were built.",,
boeingcommercialchinook,Approximately a dozen Commercial Chinooks were built in the early to mid 1980s. Most remain in service.,,
boeingmdexplorer,Approximately 40 delivered by late 1998.,,
boeingstearman,Total production 8584. Postwar more than 2100 were converted for agricultural spraying work. Several hundred fly with private owners.,,
boeingvertolkawasakikv107,"Total BV/KV 107 production approximately 650, with almost all for military customers. Small numbers remained in commercial service in late 1998.",,
bombardierbd100challenger300,"As of June 2001, 115 had been ordered.",,
bombardierbd700globalexpress,"Over 80 firm orders held at late '98. By May 2002, 64 had been delivered to customers.",,
bombardierlearjet45,Approximately 200 delivered by late 2002.,,
bombardierlearjet5560,"Production of the Model 55 ceased in 1990 after 147 had been built. 141 55s in service at late 1998. Deliveries of Model 60 began in January 1993, with more than 130 delivered by late 1998.",,
brantlyb2305,"Exact production unclear, but includes more than 400 B2 series. Production has resumed with Chinese financial backing.",,
bristol170freighter,Total Bristol 170 production 214 aircraft. In late 1998 one example was in commercial service in Canada with Hawkair Aviation Services in British Colombia who was restoring a second machine.,,
britishaerospaceatp,"Total ATP and Jetstream 61 production of 67 (including 4 J61s) built between 1986 and 1993, of which over 50 are in service.",,
britishaerospaceavrorj7085100,"Production of the Avro RJ series ceased in 2002, after 170 examples had been built, including 12 RJ70, 87 RJ85 and 71 RJ100.",,
britishaerospacebae146,"A combined total of 221 examples of the 146 have been built.
146-100 - 37 (including three VIP examples operated by the Royal Air Force) were built before production ceased in 1992.
146-200 - 113 examples had been built when production ceased in early 1993.
146-300 - 71 examples had been built when production ceased in early 1993.",,
britishaerospacejetstream31super31,"Total J31 deliveries of 381, including 161 Super J31s.",,
britishaerospacejetstream41,Orders for the Jetstream 41 stood at 100 in May 1997 when BAe announced it was terminating production.,,
brittennormanbn2islander,"Over 1200 delivered since 1969, including production in the UK and Romania and military Defenders. Approximately 65 BN-2Ts built.",,
brittennormanbn2amk3trislander,UK production totalled 73.,,
canadaircl215415,Total CL-215 production of 125. As of late 1998 51 CL-415s had been ordered.,,
canadaircl44yukon,"A total of 27 civil CL-44s built (including four CL-44J and one CL-44-O conversions), and 12 military CL-44-6 designated CC-106 Yukon. Today only seven CL-44 still exist whereoff maximum three are airworthy.",,
canadaircl600challenger600,"83 Challenger 600 were built between 1978 and 1983. Production of the Challenger continues as the 601, described separately.",,
canadaircl600challenger601604,"Challenger 601 production completed, with 66 601-1As, 134 601-3As and 59 601-3Rs delivered. Over 80 604s sold.",,
canadaircl600regionaljetcrj100200,"Total CRJ Series 100/200 orders at late 1998 over 430, of which more than 260 had been delivered. Bombardier plans to increase the CRJ production rate from six per month in late 1998 to 7.5 per month by the northern fall of 1999.",,
canadaircl600regionaljetcrj700,"By early 2011, total CRJ-700 deliveries stood at 310 with 11 on order.",,
capaviationcap102021230231232,"More than 275 CAP-10s and 10Bs, 40 CAP-21s, approximately 30 CAP-231s and 231EXs and 10 CAP-232s built.",,
casac212aviocar,"Over 435 Aviocars of all models built, including 170 for commercial operators and 265 for military customers. IPTN in Indonesia has built over 90 NC212s under licence.",,
casaiptncn235,"Out of total orders for 230 CN235s, 47 have been for civil customers. Over 30 are currently in airline service.",,
cessna150152,"Total 150 and 152 production amounts to 31,289 aircraft over 27 years, comprising 6860 US built 152s, 589 French built 152s, 22,082 US built 150s and 1758 French built 150s, and 39 Argentinian built A-150s.",,
cessna170,"In production between 1948 and 1957, 5173 Cessna 170s were built, including 730 170s and 1537 170As.",,
cessna172skyhawkearlymodels175skylark,"Total Cessna 172 family production over 42,500, of which the civil Continental powered models account for about 15,800. Production ran from 1955 to 1967. Approximately 2190 Skylarks built.",,
cessna172skyhawklatermodels,"Total Cessna 172 family production over 42,500, of which about 22,000 were basic Lycoming powered 172s built 1968-1985.",,
cessna172rsskyhawk,"Cessna 172R production restarted in 1996, with first deliveries in early 1997 - 579 built by Sept 30 1998. 172S delivered from late July 1998, 21 delivered by Sept 30 1998.",,
cessna177cardinal,"4295 177s built between 1968 and 1978, including 1543 RGs (including 177 RGs by Reims in France).",,
cessna180185skywagon,Total 180 production amounted to 6210. Total 185 production 4339 aircraft including 265 U-17A and 215 U-17B military variants and 109 AgCarryalls.,,
cessna182skylane,"21,864 (including 169 R182s by Reims) built through to 1985. 182S deliveries began April 1997. 332 built by Sept 30 1998.",,
cessna188agwagonseries,"Approximate total of 3975 including 53 AgPickups, 1589 Agwagons, 1949 AgTrucks and 385 AgHuskies.",,
cessna205206207,"574 205s, 7556 206s and 790 207s were built through to 1984. 206H & T206H deliveries began in late 1998.",,
cessna208caravanigrandcaravancargomaster,1000th unit delivered in October 1998. More than 60% of production sold outside the United States.,,
cessna210centurion,"Total 210, T210 and P210 production 9240 (including 843 P210s).",,
cessna310320,"Total 310 and 320 production (including prototypes) was 6321 aircraft, of which 5741 were 310s and 580 were 320s. From this production 196 were built for the US military as L-27, later U-3.",,
cessna336337skymaster,"336 total production of 195 between 1962 and 1964. 337 production comprised 1951 337s, 356 pressurised 337s and 513 military versions. Reims built 61 FTB337 Miniroles.",,
cessna340335,"1287 340s and 64 335s were built. The 340 was in production between 1971 and 1984, the 335 between 1979 and 1981.",,
cessna404titan,"In production between 1976 and 1982, 378 Titans were built.",,
cessna411401402,"301 Cessna 411s, 401 Cessna 404s and 1535 Cessna 402s were built.",,
cessna421414,"1901 Model 421s and 1055 Model 414s were built, production of both ceased in 1985.",,
cessna500501citationcitationicitationisp,"Over 690 Citations, Citation Is and I/SPs were built between 1971 and 1985.",,
cessna560citationvultraultraencore,262 Citation Vs built through to mid 1994. Approx 340 Ultras built. Ultra Encore deliveries due to begin second quarter 2000.,,
cessna560xlcitationexcel,"First delivery July 1998, over 300 built by September 2002.",,
cessna680citationsovereign,First customer deliveries scheduled for the first quarter of 2004. 79 advance orders announced at NBAA in October 1998.,,
cessnacitationiibravo,"733 Citation IIs built through to late 1994. Bravo deliveries began Feb 1997, over 52 delivered by late 1998.",,
cessnacitationiiivivii,"Total of 202 Citation IIIs delivered when production ceased in 1992. A total of 39 Citation VIs had been built when production ceased in 1995, while over 90 VIIs had been built by late 1998.",,
cessnacitationx,First production Citation X delivered in June 1996. Approx 60 delivered by late 1998. Target production rate 24 per year.,,
cessnacitationjetcj1cj2,300th CitationJet due to be delivered in early 1999. 76 advance orders for the CJ2 held at late 1998.,,
cessnacorsairconquestiiicaravanii,Over 230 Corsair/Conquest Is delivered by the end of 1987 by which time production had been suspended. 370 Model 441s were built. Over 70 F4065s built thus far.,,
cessnat303crusader,"In production between 1981 and 1985, 297 Crusaders were sold.",,
chichestermilesleopard,"Prototype and preproduction aircraft only built at the time of writing, with design of production aircraft continuing.",,
cirrussr2022,"Over 600 orders placed by April 2001, with first deliveries due December 1998. Up to 100 to be delivered in 2000.",,
commander114b,"Production commenced in 1992, by late 1998 approximately 150 Commander 114Bs had been built. Production is running at around 15 units a year. Rockwell built over 1000 112s and 114s (described separately) for which Commander has service responsibility.",,
convair2403404405405806006405800,"1076 built in total, of which 566 240s (incl 364 T-29s and 26 C-131s), 311 340s (incl 65 C-131s) and 199 440s (incl 21 C-131s). Additionally 10 turboprop 540s were built by Canadair.
170 340s and 440s converted to 580s, 38 240s converted to 600s, 27 340s and 440s converted to 640s. 80 converted Convairs remained in commercial service in late 1998. In addition there have been four 5800 conversions, with a fifth currently under construction.",,
curtissc46commando,3182 Commandos built for US armed forces (as the C46 for the USAAF and R5C for the USN). Many hundreds subsequently converted for civil service. Approximately 16 remain in service as of late 1998.,,
dassaultfalcon2000,First customer delivery occurred in March 1995. Over 60 delivered by late 1998.,,
dassaultfalcon50,More than 275 have been delivered since 1979.,,
dassaultfalcon900,"Over 260 Falcon 900s (including 7 900Cs, 74 900EXs, and 2 900MSAs) delivered by mid 2000.",,
dassaultmystrefalcon10100,"In addition to three prototypes, 226 Falcon 10s and Falcon 100s (including seven military MERs & 31 Falcon 100s), were built between 1973 and 1990, of which 208 were in civil service in late 1998.",,
dassaultmystrefalcon20200,"Production ended in 1988 when the last Falcon 200 was delivered, by which time 38 200s and 476 20s (including HU-2Js) had been delivered. The last 20 was completed in late 1983.",,
dehavillandcanadadash7,111 Dash 7s were built between 1977 and 1988. Approximately 66 were in commercial service as of late 1998.,,
dehavillandcanadadhc1chipmunk,"1277 Chipmunks built, including 217 in Canada, 60 under licence in Portugal and 1000 in Britain. Most of these were built originally for military customers, but many now fly with private operators.",,
dehavillandcanadadhc3otter,A total of 460 Otters built including for military air arms in 11 nations.,,
dehavillandcanadadhc4caribou,"Caribou production ended in 1973 after 307 had been built, most of which were for military customers. A small number survived in commercial service in 2000 in North America (incl Alaska).",,
dehavillandcanadadhc6twinotter,"Production completed in 1988, and comprised 115 Series 100s, 115 Series 200s and 614 Series 300s.",,
dehavillandcanadadhc8100200dash8,347 Dash 8-100s/-200s in service or on order at late 1998.,,
dehavillandcanadadhc8300dash8,"Total orders for Dash 8300s stood at over 136 by late 1998, of which 128 were in service.",,
dehavillandcanadadhc8400dash8,"Total Q400 firm sales in late 2002 stood at 74, of which 64 had been delivered.",,
dehavillandcanadadhc2beaver,"1692 Beavers built between 1948 and 1968, including approximately 60 Turbo Beavers. 974 were delivered to the US military and many others delivered to foreign military air arms. Several hundred remain in service with civilian operators.",,
dehavillanddh104dove,"544 Doves built, including 200 for military operators. A small number remain in commercial service.",,
dehavillanddh114heron,"149 Herons built comprising 51 Series 1s and 98 Series 2. Conversions include 28 Riley Herons, six by Tawron, 29 by Prinair and 13 Saunders ST27s. A handful remain in commercial service.",,
dehavillanddh82tigermoth,"8492 Tiger Moths built, including 5161 in the UK (including 1153 prewar), 1747 in Canada, 1085 in Australia, 345 in New Zealand, 91 in Portugal, 37 in Norway and 23 in Sweden.",,
diamondda40diamondstar,"Over 425 built by end 2004, including 7 prototypes, over 300 DA-40-180 and over 125 DA-40D.",,
diamondda42twinstar,4 (end 2004).,,
dornier228,"238 Dornier 228s of all models built, with 112 in commercial service in late 2002.  Indian licence production of more than 80 228s (mostly for the Indian military).",,
dornier328,"Total 328 production of 112, incl 105 production aircraft. 95 in service in late 2002.",,
dornierdo27,"Total Do 27 production of 577, including 195 Do 27A1s, 75 Do 27A3s, 54 A4s, 88 D1s, 18 B3s, one H1, 12 H2s, one Q3, 34 Q4s and one Q5.",,
dornierdo28128,"Total Do 28 and 1282 production was over 200 units including military orders, total 1286 production approximately 25.",,
douglasdc3,"10,655 built in the USA, including 430 for commercial operators prior to US entry to WW2. 2000 or so built in Russia under licence. More than 400 remain in commercial service in 1998.",,
douglasdc4,"Total DC-4 production comprised one DC-4E, 78 commercial DC-4s, 1162 military C54 Skymasters and 42 Canadair developed Merlin powered derivatives. Almost 80 remain in commercial service, most as freighters.",,
douglasdc6,"Total DC-6 production of 665, comprising 174 DC-6s, 73 DC-6As, 288 DC-6Bs, 105 C-118s and 25 R6Ds. Approximately 100 remained in service in 2003.",,
douglasdc7,"DC-7 production was 338, comprising 120 DC-7s, 97 DC-7Bs and 121 DC-7Cs. Approximately 40 remain in service.",,
douglasdc81020304050,"295 Series 10, 20, 30, 40 and 50 DC-8s built between the late 1950s and 1968. Approximately 25 series DC-8-50s were still in commercial service in 2002.",,
douglasdc86070,262 Super 60 series built with 110 70 series conversions. In late 2002 approximately 82 Super 60s and 96 Super 70s were still in commercial service.,,
ehindustrieseh101,Two sold to the Tokyo police (due to be delivered in late 1998) were the first commercial orders received.,,
embraeremb110bandeirante,"500 Bandeirantes built, the last of which were delivered to the Brazilian military in 1990. Over 200 remain in airline service.",,
embraeremb120brasilia,"Approximately 350 ordered by late 1998, including a small number of military orders, of which approximately 330 had been delivered.",,
embraeremb121xingu,"Total Xingu I & II production 105 aircraft, including military orders. Over 60 currently in use as corporate transports, largely in Europe and South America.",,
embraererj135140legacy,"By early 2005 a total of 231 (plus 2 conversions) EMB-135s had been built, including 123 ERJ-135, 74 ERJ-140 and 34 Legacy. Orders for 56 were still outstanding.",,
embraererj145,By early 2005 648 EMB-145s had been delivered and 67 more were on order.,,
embraererj170175190195,"By early 2005, 62 ERJ-170s, 2 ERJ-175s, 4 ERJ-190s and 1 ERJ-195 had been built, with a further 108 ERJ-170s, 25 ERJ-175s, 156 ERJ-190s and 15 ERJ-195s on order.",,
enstromf28280480,Production of all versions exceeds 1000. Approximately 45 480s built.,,
ercoercoupeandderivatives,"Total production amounts to 5,604 aircraft, comprising 1 model 310 and 4,872 model 415 built by Erco, 209 model 415 built by Sanders, 139 model F-1 built by Forney and Fornaire, 26 model F-1 built by Air Products, 244 model A-2 built by Alon, and 52 model A-2 and 61 model M-10 built by Mooney.",,
eurocopteras332superpuma,Military and civil orders for all variants of the Super Puma total more than 540.,,
eurocopteras350ecureuil,Approx 3000 AS-350s of all types (including military Fennecs) ordered by late 2002. In addition Helibras in Brazil has built over 300 Esquilos under licence.,,
eurocopteras355ecureuil2,Orders for military AS-555s and civil AS-355s total over 880. Helibras of Brazil has built over 25 AS-355s under licence.,,
eurocopteras365ndauphin2ec155,Approximately 650 AS-365/366/565s ordered. The 500th Dauphin of all models delivered in 1991. 20 EC-155s ordered.,,
eurocopterbo105ecsuperfive,"Approximately 1375 BO 105s of all models, including military versions, delivered thus far, including licence production in Canada, Indonesia, the Philippines and Spain.",,
eurocopterec120colibri,First Colibri delivery (to Japan) in January 1998. At late 1998 more than 100 Colibris had been ordered and the production rate had increased from four to six per month. Eurocopter anticipated a market over the subsequent decade for 1600.,,
eurocopterec135635,First deliveries in July 1996. Total forecast sales of 700 units. By late 1998 orders stood at approx 110.,,
eurocopterkawasakibk117,"Approx 370 BK 117s built, with 260 from Eurocopter/MBB and 110 from Kawasaki. Indonesia's IPTN licence built three BK 117s as NBK117s.",,
extra230300200,"Extra 230 production ceased in 1990. Approximately 170 Extra 300s delivered since 1988, 25 200s since 1996.",,
fairchildaerospacemetroiiiii23,Over 1000 Metros built.,,
fairchilddornier328jet,"Total 111 built, including the prototype converted from a 328 turboprop.",,
fairchilddornier728,"728 - 1 built, but not flown.",,
fairchildswearingenmerlin,"Includes 33 Merlin IIAs, 87 Merlin IIBs, 92 Merlin III and IIIAs and 10 Merlin 300s.",,
ffaas202bravo,"Approximately 34 15s and 180 18s built, with most in service with military customers.",,
fokker100,Almost 300 Fokker 100s had been ordered before Fokker's collapse in March 1996. 283 had been built when production ceased in early 1997.,,
fokker50,205 Fokker 50s built. Last machine delivered in May 1997.,,
fokker70,48 Fokker 70s built. Last delivered in April 1997.,,
fokkerf27fairchildf27fh227,"581 F-27s, 128 F-27s and 78 FH-227s built. Fokker production comprised 85 Mk 100s, 138 Mk 200s, 13 Mk 300s, 218 Mk 400 & 600s, 112 Mk 500s and six F-27MPA Maritimes. 290 Fokker built and 25 Fairchild aircraft in service in late 1998. Additionally, approx 25 used as corporate transports",,
fokkerf28fellowship,"Total F28 sales of 241, including some military customers. As at late 1998 approx 160 remained in commercial service. Further 10 used as corporate jets.",,
fujifa200aerosubaru,"299 Aero Subarus were built between 1965 and 1986. Series production lasted until 1977, when the Aero Subaru became available by firm order only through to 1986.",,
gafn22n24nomad,"Production ceased in late 1984 when 172 Nomads for civil and military customers had been built, including two prototypes. Approx 50 remain in service with civilian operators.",,
gippslandga200fatman,37 built by late 1998 with 10 built that year. Planned annual production rate by 2002 50.,,
gippslandga8airvan,Six deliveries expected in 1999. Planned annual production rate of 150 from 2001.,,
