Model_ID,Development_Story,Milestones,Status
aerospatialesa330puma,"The Aerospatiale (originally Sud) Puma is perhaps the most successful European built medium lift helicopter, and while most Pumas have been sold to military customers (largely for use as troop transports), a significant number are in commercial use. 

The Puma was first designed to meet a French army requirement for a medium lift helicopter capable of operating in all weather conditions. The first of two Sud SA-330 prototypes flew for the first time on April 15 1965, with the first production aircraft flying in September 1968. In January 1970 Sud was merged into Aerospatiale. A 1967 decision by Britain's Royal Air Force to order the Puma as its new tactical helicopter transport resulted in substantial Westland participation in the helicopter's design and construction. 

Early versions of the Puma were for military customers, including the SA-330B, C, E and H. The initial civil models were the Turmo IIIC powered SA-330F passenger and SA-330G freight versions, which became the first helicopters certificated for single pilot IFR operations in A and B conditions. 

The SA-330J is the definitive civil Puma, and compared to the earlier F and G has composite main rotors and an increased maximum takeoff weight. The weather radar equipped J also became the first helicopter certificated for all weather operations including flight in icing conditions, awarded in April 1978. 

IPTN of Indonesia assembled a small number of SA-330s before switching to the Super Puma. After Aerospatiale ceased production in 1987, the sole production source for the Puma became IAR (originally ICA) of Romania. 

The AS-332 Super Puma is a stretched development, and is described separately under Eurocopter.",,Operational
aerospatialesa341342gazelle,"The Gazelle will be long remembered for being the first helicopter to introduce Aerospatiale's (and now Eurocopter's) trademark Fenestron shrouded tail rotor system. 

While civil Gazelle use is not common, many are in service as personal or corporate transports. The Gazelle however is in widespread military service throughout the world, and a large number of military variants have been developed. 

The Gazelle was designed by Sud as a replacement for the popular Alouette II series. Design features included the Alouette II Astazou's powerplant and transmission system and enclosing the tail rotor within the tail for safety on the ground. 

First flight of the original Sud SA-340 Gazelle prototype occurred on April 7 1967. This aircraft was powered by the Astazou III, which became the standard powerplant on the subsequent SA-341 production model, which flew for the first time on August 16 1971, when Sud had been merged into Aerospatiale. 

Like the larger Puma the Gazelle was the subject of a 1967 agreement that has seen it jointly built by Westland in the UK and Aerospatiale in France. 

Civil production Gazelles were designated SA-341G and powered by the Astazou IIIA. The SA-341G was the first helicopter to be certificated to be flown by one pilot under Cat I weather conditions, achieving this in January 1975. This was since upgraded to Cat II operations. Gazelles with their rear fuselage modified to allow an extra 20cm of rear legroom were known as Stretched Gazelles 

Further development led to the SA-342 with the more powerful Astazou XIV and refined Fenestron design, giving the civil SA-342J a 100kg (220lb) increase in payload. The SA-342 became available from 1977.

Apart from Westland, the Gazelle was also produced by Soko (SA-341H and SA-342L Partizan) in the former Yugoslavia, and 30 SA-342L were assembled by ABHCo in Egypt.",,Operational
aerospatialesa360361365cdauphin,"The single engine SA-360 Dauphin and twin engine SA-365C Dauphin 2 were developed as replacements for the Alouette III. 

The prototype SA-360 first flew on June 2 1972 and was powered by a 730kW (980shp) Turboméca Astazou XVI turboshaft. After 180 development flights a more powerful 785kW (1050shp) Astazou XVIIIA was substituted, and weights were fitted to the rotor tips to reduce vibration and to eliminate ground resonance. The first prototype flew in this new configuration on May 4 1973, following a second prototype built to the new standard which had flown for the first time that January. The first production aircraft, designated the SA-360C, flew in April 1975. 

The SA-361 is a more powerful variant with improved hot and high performance and a greater payload capability. Although prototypes were built, the SA-361 was not taken into production. A military variant of the SA-361, the SA-361H, was offered fitted with up to eight HOT anti tank missiles, but was also not ordered into production. 

The twin engine SA-365C Dauphin 2 meanwhile was announced in early 1973. First flight was on January 24 1975. It features twin Arriel turboshafts and a new engine fairing, a Starflex main rotor hub and a higher max takeoff weight. Production deliveries began in December 1978. 

SA-360 and SA-365C production ceased in 1981 in preference for the much improved SA-365N (later AS-365N), described under Eurocopter.",,Operational
aerospatialesn601corvette,"Although primarily a small corporate transport, Aerospatiale designed the Corvette to fulfil a variety or roles, including commuter airliner, aerial photography, airline pilot training, air ambulance, air taxi, express freight and navigation aid calibration work. 

The Corvette was a commercial failure, and was Aerospatiale's only venture into the executive jet market. The first prototype SN-600 first flew on July 16 1970, but only completed 270 hours of test and development flying before it crashed on March 23 the following year. This aircraft was powered by 9.8kN (2200lb) JT15D-1s. 

The subsequent production version, the SN-601, had more powerful JT15D-4 turbofans and a stretched fuselage compared to the prototype. The first SN-601, or Corvette 100, made its maiden flight on December 20 1972. The second SN-601 Corvette (the first to full production standard) flew on March 7 1973, and a third on January 12 1974. 

French civil certification for the Corvette was granted on May 28 1974. Customer deliveries, delayed by strikes at engine manufacturer Pratt & Whitney Canada (then UACL) began the following September. 

Production of the Corvette continued until 1977. The initial production schedule called for 20 aircraft to be delivered in 1974 and production of six a month for 1975 and thereafter. However this proved an overly optimistic assessment of potential sales and only 40 were built (including development aircraft). Plans for a 2.08m (6ft 7in) stretched 18 seat Corvette 200 were also dropped. 

Many early Corvette customers were French regional airlines (such as Air Alpes and Air Alsace), with others sold to corporate operators in Europe. Outside Europe however the type generated little sales interest in the face of very strong competition. Many of the Corvettes built remain in service today.",,Operational
agustaa109,"The A-109 is a high performance twin helicopter, one of the most successful in its class during the course of its 25 year history. 

The first of four A-109 prototypes flew on August 4 1971. VFR certification was awarded on June 1 1975 although series production had already begun in 1974. First production deliveries took place in late 1976. The helicopter was originally named Hirundo, but this name was later dropped. Single pilot IFR certification was granted in January 1977. 

The base A-109A was superseded by the upgraded A-109A Mk.II from September 1981. Improvements incorporated in the Mk.II included a greater transmission rating, redesigned tailboom and a new tail rotor driveshaft, improved rotor blade life and modern avionics. The Mk.II is also available in widebody configuration with increased internal volume courtesy of bulged fuselage side panels and reshaped fuel tanks under the cabin floor. The Mk.II Plus has the more powerful 250-C20R1 engines, as does the A-109C. The 109C also has composite rotor blades. 

The A-109K first flew in April 1983 and is powered by two 470kW (640shp) max continuous operation rated Turboméca Arriel 1K1 turboshafts. The latest A-109 model is the PW-206C powered (477kW/640shp takeoff rated) A-109E Power, which first flew on February 8 1995 and was certificated in August 1996. Based on the A-109K-2 it also features a strengthened landing gear and improved main rotor. The engines feature FADEC. 

The A-109 has been developed into a number of mission specific configurations. Aside from executive transport it is used widely in medevac, police and patrol roles worldwide. Previously medevac configured A-109As were based on the standard airframe, but modifications engineered by the US firm Custom Aircraft Completions resulted in the A-109 Max, with transverse stretcher stowage and bulged side door transparencies.",,Operational
agustaa119koala,"Agusta's newest helicopter, the widebody A-119 Koala is a relatively large single turbine powered helicopter designed for a range of utility transport missions where it makes economic sense to operate a single when the redundancy of a twin is not required. 

Agusta began development work on the Koala in 1994, leading to the first prototype's maiden flight in early 1995. A second prototype flew later in that same year. Agusta originally aimed to gain certification for the A-119 in late 1996 but this was delayed until late 1998. One cause for the delay has been strong sales demand for the A-109E Power, another to enhance the A-119's performance in response to customer feedback. Production deliveries are planned for 1999. 

The Koala's big selling feature is its large 'widebody' fuselage. Agusta says the cabin is 30% larger than the cabins of any other current production single engine helicopter. A measure of the cabin size is that it can accommodate two stretcher patients in an EMS role, along with two medical attendants. Most other single engine helicopters typically are only equipped for a single stretcher because of a lack of space (Agusta sees medical retrieval operators as prime potential Koala customers). 

Access to the main cabin is via two large sliding doors, one either side of the fuselage. A baggage compartment in the rear of the fuselage is also accessible in flight. 

The first prototype Koala was powered by a Turboméca Arriel 1 turboshaft but it was subsequently reengined with a 747kW (1002shp) takeoff rated Pratt & Whitney Canada PT6B-37, which powered the second prototype and will feature in production aircraft. Another design feature is the Koala's composite four blade main rotor which features a titanium fully articulated maintenance free hub with elastomeric bearings and composite grips.",,Operational
airtractorseries,"The Air Tractor was designed by company founder Leyland Snow who earlier designed the Snow S-2 (built by Rockwell and Ayres). 

The initial Air Tractor model was the Pratt & Whitney R-1340 radial powered AT-301 which established the Air Tractor series' basic configuration. First flight was in 1973, and 600 were built. The PT6 turbine powered AT-302 introduced in 1977 was replaced by the AT-402. The R-1340 powered AT-401 introduced a greater span wing and increased chemical hopper capacity and first flew in 1986. The AT-402 is similar other than its 505kW (680shp) PT6A turboprop engine, the AT-402B has increased span wings. 

The AT-502A (first flight Feb 1992) is based in the 402B but has a far more powerful 820kW (1100shp) PT6A-45R turbine driving a slow turning five blade prop. Its excess power reserves allow high speed or high altitude operations. The AT-502B has Hoerner wingtips and optional equipment including GPS. 

The 5.4 tonne MTOW PT6 powered AT-602 first flew on December 1 1995 and became available for delivery in the second half of 1996. 

The larger and heavier two seat AT-802 and single seat AT-802A are the largest purpose designed single engine ag aircraft in production. First flight was in October 1990. The AT-802F is a dedicated firefighting version.",,Operational
airbusa300600,"The A300-600 development of the earlier A300B4 incorporated a number of significant improvements and refinements, foremost being a two crew flightdeck and increased range. 

Apart from the two crew EFIS cockpit, with digital avionics based on that developed for the A310, changes included the A310's tail empennage which increased freight and passenger payloads, small winglets (an option from 1989, standard from 1991), simplified systems, greater use of composites, Fowler flaps and increased camber on the wings, new brakes and APU, and improved payload/range through an extensive drag reducing airframe clean up and new engines. First flight for the A300-600 was on July 8 1983, the first airline delivery was in March 1984. 

The A300-600 was further developed into the longer range A300-600R, its extended range courtesy of a fuel trim tank in the tailplane and higher maximum takeoff weights. First flight was on December 9 1987, first delivery was April 20 1988 (to American Airlines). 

Convertible freight/passenger versions of all variants of the A300 have been offered, as has the all freight A300F4-600. The first new build pure freighter A300, one of 36 ordered for Federal Express, flew in December 1993. UPS is another major A300-600F customer, following its September 1998 order for 30. Airbus also offers conversion packages of existing passenger A300s into freighters with a left side forward freight door and strengthened floor.",,Operational
airbusa300600stsupertransporter,"The A300-600ST Super Transporter was designed to replace Airbus Industrie's Super Guppy transports, used by the consortium to ferry oversize components such as wings and fuselage sections between Airbus' partners' plants throughout western Europe. 

Development of the A300-600ST, nicknamed Beluga and also Super Flipper, began in August 1991. The A300-600ST's tight development program - for what in many ways is effectively a new aircraft - saw the transport rolled out in June 1994, with first flight on September 13 that year. The A300-600ST then entered a 400 hour flight test program which culminated in mid 1995, with certification awarded that September and with delivery and entry into service with Airbus in January 1996. All of the first four on order had been delivered by mid 1998 (allowing the Super Guppy's retirement in October 1997). The fifth Super Transporter is scheduled to be delivered in 2001. 

The A300-600ST is based on the A300-600 airliner, with which it shares the wing, lower fuselage, main undercarriage and cockpit. The main differences are obvious - a bulged main deck, new forward lower fuselage, new enlarged tail with winglets and an upwards hinging main cargo door. A design study of a similarly configured A340, the A340ST Mega Transporter, to carry A3XX components is underway. 

Program management of the A300-600ST is the responsibility of the Special Aircraft Transport Company, or SATIC, an economic interest grouping formed on a 50/50 basis by Aerospatiale and DASA operating on behalf of Airbus Industrie. While much of the work on the aircraft is performed by the Airbus partners, other European companies are also involved in the program.",,Operational
airbusa300b2b4,"The Airbus A300 is significant not only for being a commercial success in its own right, but for being the first design of Europe's most successful postwar airliner manufacturer. 

Aerospatiale of France, CASA of Spain and the forerunners of Germany's DaimlerChrysler Aerospace and British Aerospace formed the Airbus Industrie consortium in the late 1960s specifically to develop a twin engined 300 seat widebody `air bus' to fill an identified market gap. 

The original 300 seat airliner design matured into a smaller 250 seater, the A300 designation gaining a `B' suffix to denote the change. Two prototype A300B1s were built, the first of these flying from Toulouse, France on October 28 1972, the second on February 5 the next year. The General Electric CF6 was the powerplant choice for initial A300s. Following the prototype A300B1s was the 2.65m (8ft 8in) longer A300B2, the first production version which first flew in April 1974. The B2 entered service with Air France on May 23 1974. 

Subsequent versions included the B2-200 with Krueger leading edge flaps and different wheels and brakes; the B2-300 with increased weights for greater payload and multi stop capability; the B4-100 a longer range version of the B2 with Krueger flaps; and the increased max takeoff weight B4-200 which featured reinforced wings and fuselage, improved landing gear and optional rear cargo bay fuel tank. A small number of A300C convertibles were also built, these featured a main deck freight door behind the wing on the left hand side. Late in the A300B4's production life an optional two crew flightdeck was offered as the A300-200FF (customers were Garuda, Tunis Air and VASP). 

Production of the A300B4 ceased in May 1984, with manufacture switching to the improved A300-600. 

Older A300s are now finding a useful niche as freighters, with a number of companies, in particular DaimlerChrysler Aerospace Airbus, offering conversion programs.",,Operational
airbusa310,"The A310 first began life as the A300B10, one of a number of projected developments and derivatives of Airbus' original A300B airliner. 

While based on the larger A300, the A310 introduced a number of major changes. The fuselage was shortened by 13 frames compared to the A300B, reducing seating to around 200 to 230 passengers and a new higher aspect ratio wing of smaller span and area was developed. New and smaller horizontal tail surfaces, fly-by-wire outboard spoilers and a two crew EFIS flightdeck were incorporated, while the engine pylons were common to suit both engine options. 

The first flight of the A310 occurred on April 3 1982, after the program was launched in July 1978. Service entry was with Lufthansa in April 1983. Early production A310s did not have the small winglets that became a feature of later build A310-200s and the A310-300. The A310-300 is a longer range development of the base A310-200, and has been in production since 1985. This version can carry a further 7000kg (15,430lb) of fuel in the tailplane. 

The A310-200F freighter is available new build or as a conversion of existing aircraft (13 A310s were converted to freighters for Federal Express by Airbus partner Daimler Benz [now DaimlerChrysler] Aerospace Airbus). The A310-200C convertible passenger/freighter first entered service with Dutch operator Martinair in 1984.",,Operational
